listingPrice,listingType,marketStatus,conservationStatus,energyEfficiencyLevel,constructionYear,localZone,garage,garageSpots,floorAsNumber,elevator,totalRooms,numberOfBedrooms,numberOfBathrooms,totalArea,livingArea
440000.0,Apartamento,Novo para o Mercado,Bom estado,C,2002.0,Paço De Arcos,False,1,0.0,True,3.0,2.0,2.0,102.0,89.0
369000.0,Apartamento,Novo para o Mercado,,C,1979.0,Oeiras,False,0,1.0,True,,3.0,1.0,94.0,94.0
990000.0,Moradia,Novo para o Mercado,Para Obras,F,0.0,Algés,True,1,,False,5.0,5.0,3.0,175.0,157.0
340000.0,Apartamento,Novo para o Mercado,Bom estado,D,2008.0,Caxias,False,1,0.0,True,3.0,2.0,1.0,83.0,78.0
830000.0,Apartamento,Novo para o Mercado,Usado,D,1994.0,Caxias,False,1,0.0,True,2.0,2.0,3.0,127.0,0.0
398000.0,Apartamento,Novo para o Mercado,,D,2000.0,Carnaxide,True,1,0.0,True,,3.0,2.0,118.0,118.0
748000.0,Moradia,Novo para o Mercado,Usado,E,1978.0,Porto Salvo,False,3,,,8.0,5.0,3.0,189.0,260.0
2910000.0,Moradia,Novo para o Mercado,,A+,2022.0,Paço De Arcos,False,3,,,6.0,5.0,4.0,351.0,316.0
1800000.0,Moradia,Novo para o Mercado,,B-,2016.0,Paço De Arcos,False,2,,False,8.0,2.0,3.0,320.0,272.0
800000.0,Prédio,Novo para o Mercado,Usado,A,1951.0,Carnaxide,False,0,,False,7.0,,4.0,95.0,252.0
690000.0,Moradia,Novo para o Mercado,,D,1958.0,Caxias,False,2,,,6.0,4.0,2.0,221.0,218.0
215000.0,Apartamento,Novo para o Mercado,Como novo,E,1978.0,Linda A Velha,False,0,2.0,False,2.0,1.0,1.0,49.0,42.0
470000.0,Apartamento,Novo para o Mercado,,F,1985.0,Oeiras,False,0,10.0,True,5.0,2.0,1.0,114.0,114.0
385000.0,Apartamento,Novo para o Mercado,,D,1983.0,Oeiras,False,2,5.0,True,,2.0,2.0,119.0,119.0
580000.0,Apartamento,Novo para o Mercado,,D,1992.0,Linda A Velha,True,1,1.0,True,5.0,4.0,2.0,157.0,122.0
449950.0,Apartamento,Novo para o Mercado,Como novo,D,1950.0,Algés,False,0,2.0,False,4.0,3.0,2.0,100.0,90.0
20000.0,Terreno,Novo para o Mercado,,NC,,Carnaxide,False,0,,,,,0.0,,
